DD/MM/YYYY,Date (number),MM (mo),DD (dy),hh (hr),Average of WTMP (deg C)
1/1/2017,42736.00,1,1,0,27.31
1/1/2017,42736.04,1,1,1,27.22
1/1/2017,42736.08,1,1,2,27.03
1/1/2017,42736.13,1,1,3,26.89
1/1/2017,42736.17,1,1,4,26.81
1/1/2017,42736.21,1,1,5,26.77
1/1/2017,42736.25,1,1,6,26.73
1/1/2017,42736.29,1,1,7,26.78
1/1/2017,42736.33,1,1,8,26.72
1/1/2017,42736.38,1,1,9,26.62
1/1/2017,42736.42,1,1,10,26.55
1/1/2017,42736.46,1,1,11,26.5
1/1/2017,42736.50,1,1,12,26.59
1/1/2017,42736.54,1,1,13,26.78
1/1/2017,42736.58,1,1,14,26.98
1/1/2017,42736.63,1,1,15,27.2
1/1/2017,42736.67,1,1,16,27.5
1/1/2017,42736.71,1,1,17,27.71
1/1/2017,42736.75,1,1,18,27.82
1/1/2017,42736.79,1,1,19,27.88
1/1/2017,42736.83,1,1,20,27.81
1/1/2017,42736.88,1,1,21,27.43
1/1/2017,42736.92,1,1,22,27.57
1/1/2017,42736.96,1,1,23,27.55
1/2/2017,42737.00,1,2,0,27.26
1/2/2017,42737.04,1,2,1,27.06
1/2/2017,42737.08,1,2,2,26.97
1/2/2017,42737.13,1,2,3,26.87
1/2/2017,42737.17,1,2,4,26.8
1/2/2017,42737.21,1,2,5,26.8
1/2/2017,42737.25,1,2,6,26.76
1/2/2017,42737.29,1,2,7,26.7
1/2/2017,42737.33,1,2,8,26.7
1/2/2017,42737.38,1,2,9,26.66
1/2/2017,42737.42,1,2,10,26.64
1/2/2017,42737.46,1,2,11,26.6
1/2/2017,42737.50,1,2,12,26.62
1/2/2017,42737.54,1,2,13,26.7
1/2/2017,42737.58,1,2,14,26.84
1/2/2017,42737.63,1,2,15,26.99
1/2/2017,42737.67,1,2,16,27.23
1/2/2017,42737.71,1,2,17,27.36
1/2/2017,42737.75,1,2,18,27.7
1/2/2017,42737.79,1,2,19,27.82
1/2/2017,42737.83,1,2,20,27.6
1/2/2017,42737.88,1,2,21,27.6
1/2/2017,42737.92,1,2,22,27.45
1/2/2017,42737.96,1,2,23,27.42
1/3/2017,42738.00,1,3,0,27.4
1/3/2017,42738.04,1,3,1,27.3
1/3/2017,42738.08,1,3,2,27.22
1/3/2017,42738.13,1,3,3,26.91
1/3/2017,42738.17,1,3,4,26.78
1/3/2017,42738.21,1,3,5,26.8
1/3/2017,42738.25,1,3,6,26.77
