Time, Temp_C, pH, ORP_mV,DO_mg,DO_PerSat,EC_uS,EC_PSU, 
2018-07-14 15:04:45, 24.225, 8.097, 324.0, 6.09,99.9, 46651,30.27,
2018-07-14 15:04:54, 24.224, 8.102, 323.9, 6.08,99.6, 46641,30.26,
2018-07-14 15:05:03, 24.227, 8.101, 323.9, 6.08,99.6, 46011,29.81,
2018-07-14 15:05:12, 24.841, 8.101, 324.0, 6.04,99.0, 46131,29.90,
2018-07-14 15:05:21, 27.882, 8.095, 324.4, 6.08,99.7, 46491,30.16,
2018-07-14 15:05:30, 29.822, 8.096, 324.2, 6.05,99.2, 45981,29.79,
2018-07-14 15:05:39, 30.948, 8.094, 324.5, 6.02,98.8, 46261,29.99,
2018-07-14 15:05:48, 31.642, 8.096, 324.3, 6.07,99.4, 46531,30.18,
2018-07-14 15:05:57, 32.095, 8.092, 324.2, 6.08,99.7, 46641,30.26,
2018-07-14 15:06:06, 32.097, 8.095, 324.4, 6.08,99.7, 46141,29.90,
2018-07-14 15:06:15, 29.804, 8.095, 324.2, 6.10,99.9, 46921,30.47,
2018-07-14 15:06:24, 27.655, 8.097, 324.4, 6.07,99.5, 46551,30.20,
2018-07-14 15:06:33, 26.823, 8.095, 324.3, 6.04,99.0, 46331,30.04,
2018-07-14 15:06:42, 26.504, 8.094, 324.1, 6.05,99.1, 46191,29.94,
2018-07-14 15:06:51, 26.367, 8.100, 324.2, 6.05,99.2, 46911,30.46,
2018-07-14 15:07:00, 26.360, 8.103, 324.3, 6.03,98.8, 46591,30.23,
2018-07-14 15:07:09, 26.350, 8.102, 324.3, 6.04,99.0, 46351,30.05,
2018-07-14 15:07:18, 26.340, 8.102, 324.3, 6.06,99.3, 47031,30.55,
2018-07-14 15:07:27, 26.332, 8.098, 324.2, 6.04,99.0, 46611,30.24,
2018-07-14 15:07:36, 26.325, 8.095, 324.3, 6.05,99.2, 46381,30.07,
2018-07-14 15:07:45, 26.320, 8.095, 324.2, 6.04,99.0, 46721,30.32,
2018-07-14 15:07:54, 26.316, 8.096, 324.3, 6.01,98.6, 46611,30.24,
2018-07-14 15:08:03, 26.312, 8.096, 324.1, 6.02,98.6, 46441,30.12,
2018-07-14 15:08:12, 26.308, 8.099, 324.1, 6.05,99.1, 46471,30.14,
2018-07-14 15:08:21, 26.305, 8.098, 324.1, 6.02,98.8, 46621,30.25,
2018-07-14 15:08:30, 26.304, 8.099, 324.0, 6.02,98.8, 46131,29.90,
2018-07-14 15:08:39, 26.304, 8.097, 324.2, 6.05,99.2, 46381,30.07,
2018-07-14 15:08:49, 26.304, 8.096, 324.0, 6.06,99.4, 46641,30.26,
2018-07-14 15:08:58, 26.304, 8.098, 324.1, 6.06,99.4, 46511,30.17,
