Time, TRD, pH, ORP, DO,DO,EC, EC, 
2018-06-05 19:26:07, 26.471, 8.452, 248.2, 6.43,88.9, 53391,35.24,
2018-06-05 19:26:16, 26.470, 8.448, 248.2, 6.43,88.9, 53391,35.24,
2018-06-05 19:26:25, 26.468, 8.450, 248.3, 6.43,88.8, 53381,35.24,
2018-06-05 19:26:34, 26.467, 8.448, 248.2, 6.44,88.9, 53381,35.24,
2018-06-05 19:26:43, 26.467, 8.449, 248.2, 6.43,88.8, 53381,35.24,
2018-06-05 19:26:52, 26.466, 8.449, 248.0, 6.43,88.9, 53391,35.24,
2018-06-05 19:27:01, 26.466, 8.446, 248.4, 6.42,88.7, 53391,35.24,
2018-06-05 19:27:10, 26.466, 8.449, 248.6, 6.43,88.8, 53661,35.44,
2018-06-05 19:27:19, 26.466, 8.446, 248.2, 6.41,88.6, 53381,35.24,
2018-06-05 19:27:28, 26.466, 8.448, 248.2, 6.44,88.9, 53381,35.24,
2018-06-05 19:27:37, 26.465, 8.448, 249.0, 6.44,89.0, 53381,35.24,
2018-06-05 19:27:46, 26.465, 8.440, 248.7, 6.43,88.9, 53381,35.24,
2018-06-05 19:27:55, 26.465, 8.439, 248.2, 6.43,88.9, 53371,35.23,
2018-06-05 19:28:04, 26.464, 8.437, 248.2, 6.44,89.0, 53371,35.23,
2018-06-05 19:28:13, 26.464, 8.436, 249.0, 6.42,88.7, 53361,35.22,
2018-06-05 19:28:22, 26.463, 8.437, 248.2, 6.41,88.6, 53361,35.23,
2018-06-05 19:28:31, 26.462, 8.439, 249.2, 6.43,88.9, 53361,35.23,
2018-06-05 19:28:40, 26.462, 8.441, 248.4, 6.42,88.7, 53361,35.23,
2018-06-05 19:28:50, 26.462, 8.446, 248.1, 6.43,88.8, 53371,35.23,
2018-06-05 19:28:59, 26.462, 8.443, 248.4, 6.44,89.0, 53381,35.24,
2018-06-05 19:29:08, 26.461, 8.444, 248.4, 6.42,88.8, 53381,35.24,
2018-06-05 19:29:17, 26.461, 8.442, 249.0, 6.44,89.1, 53381,35.24,
2018-06-05 19:29:26, 26.461, 8.447, 248.4, 6.42,88.7, 53721,35.49,
2018-06-05 19:29:35, 26.461, 8.447, 248.4, 6.42,88.8, 53371,35.23,
2018-06-05 19:29:44, 26.461, 8.446, 248.4, 6.42,88.7, 53901,35.63,
2018-06-05 19:29:53, 26.460, 8.444,Error 255, 6.42,88.7, 53591,35.39,
2018-06-05 19:30:02, 26.461, 8.439, 248.2, 6.42,88.7, 53441,35.28,
2018-06-05 19:30:11, 26.460, 8.437, 248.4, 6.42,88.7, 53451,35.29,
2018-06-05 19:30:20, 26.461, 8.443, 248.1, 6.41,88.6, 53371,35.23,
2018-06-05 19:30:29, 26.460, 8.448, 248.3, 6.42,88.8, 53431,35.27,
