Time, TRD (C), pH, ORP (mV), DO (mg/L),DO (%Sat),EC (uS), EC (PSU), 
2018-06-06 13:25:00, 26.587, 8.353, 263.2, 7.20,99.5, 53811,35.56,
2018-06-06 13:25:09, 26.586, 8.358, 262.4, 7.17,99.1, 54101,35.78,
2018-06-06 13:25:18, 26.586, 8.362, 262.4, 7.15,98.8, 53821,35.56,
2018-06-06 13:25:27, 26.586, 8.357, 262.5, 7.17,99.1, 53801,35.55,
2018-06-06 13:25:36, 26.585, 8.354, 262.4, 7.14,98.7, 53811,35.56,
2018-06-06 13:25:45, 26.584, 8.351, 262.5, 7.15,98.8, 53801,35.55,
2018-06-06 13:25:54, 26.583, 8.359, 262.4, 7.15,98.8, 53811,35.56,
2018-06-06 13:26:03, 26.583, 8.360, 262.4, 7.18,99.3, 53781,35.54,
2018-06-06 13:26:12, 26.582, 8.353, 262.4, 7.18,99.3, 53801,35.55,
2018-06-06 13:26:21, 26.582, 8.352, 262.5, 7.17,99.1, 53801,35.55,
2018-06-06 13:26:30, 26.581, 8.357, 262.7, 7.19,99.4, 53801,35.55,
2018-06-06 13:26:39, 26.582, 8.359, 262.7, 7.19,99.4, 53801,35.55,
2018-06-06 13:26:48, 26.583, 8.359, 262.9, 7.20,99.5, 53801,35.55,
2018-06-06 13:26:57, 26.583, 8.357, 262.8, 7.17,99.0, 53791,35.54,
2018-06-06 13:27:06, 26.582, 8.357, 263.0, 7.08,97.8, 53801,35.55,
2018-06-06 13:27:15, 26.582, 8.356, 263.2, 7.11,98.2, 53801,35.55,
2018-06-06 13:27:25, 26.581, 8.354, 262.7, 7.21,99.6, 53801,35.55,
2018-06-06 13:27:34, 26.580, 8.354, 262.5, 7.16,99.0, 53791,35.55,
2018-06-06 13:27:43, 26.580, 8.355, 262.5, 7.18,99.2, 53791,35.54,
2018-06-06 13:27:52, 26.580, 8.355, 263.2, 7.20,99.6, 53801,35.55,
2018-06-06 13:28:01, 26.581, 8.358, 262.6, 7.16,99.0, 53791,35.54,
2018-06-06 13:28:10, 26.581, 8.358, 262.8, 7.20,99.5, 53791,35.55,
2018-06-06 13:28:19, 26.582, 8.362, 262.6, 7.22,99.7, 53791,35.54,
2018-06-06 13:28:28, 26.582, 8.358, 262.6, 7.20,99.5, 53791,35.54,
2018-06-06 13:28:37, 26.581, 8.359, 262.5, 7.14,98.6, 53791,35.55,
2018-06-06 13:28:46, 26.581, 8.353, 262.7, 7.15,98.8, 53791,35.54,
2018-06-06 13:28:55, 26.582, 8.352, 262.9, 7.17,99.1, 54141,35.81,
2018-06-06 13:29:04, 26.581, 8.354, 262.8, 7.21,99.6, 53791,35.54,
2018-06-06 13:29:13, 26.582, 8.353, 262.7, 7.21,99.6, 53801,35.55,
2018-06-06 13:29:22, 26.582, 8.354, 263.0, 7.20,99.6, 53801,35.55,
2018-06-06 13:29:31, 26.582, 8.354, 262.7, 7.22,99.8, 53791,35.54,
2018-06-06 13:29:40, 26.581, 8.354, 263.0, 7.25,100.2, 53791,35.54,
2018-06-06 13:29:49, 26.582, 8.354, 263.5, 7.19,99.3, 53791,35.54,
2018-06-06 13:29:58, 26.582, 8.353, 263.1, 7.23,99.9, 53781,35.54,
2018-06-06 13:30:07, 26.582, 8.352, 263.0, 7.18,99.2, 53791,35.54,
2018-06-06 13:30:16, 26.582, 8.350, 263.2, 7.22,99.7, 53801,35.55,
2018-06-06 13:30:25, 26.581, 8.351, 263.0, 7.20,99.6, 53801,35.55,
2018-06-06 13:30:34, 26.581, 8.349, 263.2, 7.17,99.1, 53781,35.54,
2018-06-06 13:30:43, 26.581, 8.353, 263.0, 7.14,98.6, 53791,35.54,
2018-06-06 13:30:52, 26.581, 8.353, 263.2, 7.21,99.6, 53781,35.53,
2018-06-06 13:31:01, 26.581, 8.350, 263.3, 7.22,99.8, 53791,35.54,
2018-06-06 13:31:10, 26.580, 8.350, 263.3, 7.20,99.6, 53791,35.54,
2018-06-06 13:31:19, 26.581, 8.353, 263.4, 7.20,99.5, 53791,35.54,
2018-06-06 13:31:28, 26.581, 8.354, 263.2, 7.19,99.3, 54011,35.70,
2018-06-06 13:31:37, 26.581, 8.355, 263.6, 7.18,99.3, 53781,35.54,
2018-06-06 13:31:46, 26.581, 8.357, 263.4, 7.19,99.3, 53791,35.54,
2018-06-06 13:31:55, 26.581, 8.354, 263.5, 7.22,99.7, 53811,35.56,
2018-06-06 13:32:05, 26.580, 8.355, 263.4, 7.23,99.9, 53791,35.54,
2018-06-06 13:32:14, 26.581, 8.358, 263.4, 7.21,99.6, 53801,35.55,
2018-06-06 13:32:23, 26.581, 8.355, 263.5, 7.20,99.5, 53801,35.55,
2018-06-06 13:32:32, 26.581, 8.355, 263.2, 7.18,99.3, 53801,35.55,
2018-06-06 13:32:41, 26.580, 8.353, 263.4, 7.16,98.9, 53791,35.54,
2018-06-06 13:32:50, 26.579, 8.350, 263.6, 7.20,99.6, 53801,35.55,
2018-06-06 13:32:59, 26.580, 8.349, 263.6, 7.20,99.5, 53801,35.55,
2018-06-06 13:33:08, 26.580, 8.351, 263.5, 7.18,99.3, 53791,35.54,
2018-06-06 13:33:17, 26.579, 8.350, 263.4, 7.19,99.4, 53791,35.54,
2018-06-06 13:33:26, 26.579, 8.352, 263.6, 7.23,99.9, 53791,35.54,
2018-06-06 13:33:35, 26.579, 8.353, 263.6, 7.24,100.0, 53801,35.55,
2018-06-06 13:33:44, 26.579, 8.357, 263.7, 7.17,99.2, 53791,35.54,
